PM25,PM10,CO,NO,NO2,NOx,O3,RAINFALL,RH,SO2,TEMP,UVB
17,20,0.17,1.18,1.1,2.28,43.1,0,84,2,22.64,8.7
18,24,0.17,1.31,1.42,2.73,40.7,0,86,3.1,23.04,9
21,26,0.17,2.46,3.31,5.76,37.5,0,90,7.1,22.86,6.1
16,18,0.17,1.59,1.42,3.01,36.9,0,85,3.5,20.97,2.8
23,31,0.22,2.12,6.22,8.34,34.1,0,86,9.2,20.36,1.3
22,28,0.21,1.81,5.22,7.03,35.4,0,86,5.9,20.12,0.4
23,27,0.19,1.15,4.3,5.45,35.9,0,87,4,19.28,0
17,23,0.17,0.92,2.38,3.3,39.3,0,87,3.2,18.76,0
21,26,0.17,1.41,5.62,7.03,35.1,0,87,6.8,18.97,0
24,29,0.19,1.15,8.88,10.03,31,0,88,10.7,18.83,0
21,25,0.19,1.19,6.9,8.09,34.1,0,88,7.6,18.85,0
19,23,0.19,1.32,5.96,7.29,34.2,0,88,7.3,18.91,0
13,14,0.16,1.3,2.13,3.43,37,0,87,3.4,18.75,0
13,14,0.17,1.04,1.62,2.65,37.2,0,88,2.5,18.73,0
13,14,0.16,1.08,1.27,2.36,36.3,0,88,2.2,18.85,0
11,13,0.16,0.84,1.27,2.11,35.3,0,87,1.5,18.61,0
11,13,0.16,0.99,1.36,2.35,38.3,0,89,1.3,18.57,0
12,14,0.16,0.94,0.91,1.86,36.1,0,89,1.2,18.69,0.1
12,15,0.17,0.68,0.77,1.45,35.8,0,88,2,20.11,0.5
12,16,0.17,0.73,1.44,2.16,34.5,0,88,2.5,22.07,1.5
11,16,0.16,0.8,1.19,1.99,35.1,0,91,2.7,23.99,3.3
9,12,0.16,0.9,1.25,2.15,35.6,0,87,2.4,24.68,5.2
10,12,0.18,0.81,1.41,2.21,40.7,0,82,1.6,26.53,8.1
13,18,0.2,0.46,1.84,2.3,48,0,87,2,27.62,8.7
17,22,0.23,0.35,2.73,3.07,59.3,0,84,2.3,26.99,6.4
27,41,0.26,0.81,3.47,4.28,68,0,85,3.4,25.55,4.1
25,34,0.295,0.535,4.515,5.045,79.3,0,84,3.5,25.75,2.1
23,27,0.33,0.6275,5.4075,6.0325,90.6,0,84,3.6,25.95,2.5
39,41,0.38,0.72,6.3,7.02,103.8,0,82,5,24.32,1.1
44,50,0.37,0.7,5.52,6.23,115.4,0,76,3.6,23.3,0.4
34,33,0.31,0.45,3.27,3.72,89.7,0,70,2.3,22.61,0
39,58,0.35,0.51,8.08,8.6,78,0,84,4.6,21.15,0
45,62,0.59,0.6,21.04,21.65,62.6,0,85,6.6,20.27,0
46,60,0.62,0.67,19.08,19.75,56.1,0,83,6.2,20.25,0
42,59,0.58,0.95,15.25,16.2,56.1,0,87,5.5,20.06,0
36,49,0.34,0.68,5.88,6.57,75.1,0,86,3.6,19.73,0
29,34,0.3,0.87,3.54,4.41,75.4,0,83,1.8,20.32,0
27,35,0.26,0.8,2.85,3.65,68.9,0,80,1,20.69,0
23,27,0.24,0.92,2.96,3.88,46,0,86,0.8,20.21,0
14,11,0.2,1.23,2.32,3.55,38.4,0,77,1.9,19.96,0
12,13,0.17,1,3.16,4.16,39,0,78,2.3,20.27,0
13,15,0.17,1.17,4.18,5.34,38.5,0,79,2.6,20.52,0
16,17,0.21,1.74,8.12,9.86,33,0,77,3.9,21.08,0.3
26,37,0.3,1.66,5.81,7.47,51.3,0,78,3.5,22.23,1.2
35,49,0.36,2.27,7.15,9.42,49.5,0,83,4.5,24.35,3.1
42,57,0.39,2.09,10.51,12.6,47.7,0,85,5.9,23.96,2.9
41,54,0.32,1.64,8.32,9.96,61.6,0,85,4.8,23.47,2.2
45,57,0.33,1.48,8.33,9.81,65,0,86,4.9,23.8,2.5
49,61,0.32,1.3,7.81,9.11,90.2,0,84,4.5,24.21,2.6
46,55,0.29,1.43,6.58,8.01,85.1,0,86,3.7,23.75,1.6
42,46,0.25,1.51,6.05,7.57,78.6,0,87,3.1,22.88,0.8
32,34,0.19,1.6,6.2,7.8,63.9,0,88,3.2,22.32,0.4
